site,seed,resolution,de_scale,leaf,mean_acceptance,saturation,min_steps_per_tau,max_tau_change,abs_resid_lag24,sigma_upper_edge,raw_chain_sha256,map_rmse,map_bias,map_r2,elm_rmse,elm_bias,elm_r2,pool_target_sha256,campaign_target_sha256,max_cross_seed_width_fraction
ABBY,9011,daily,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/daily_0.50/seed_9011,0.26942578125,0.016337890625,12.259035448557137,0.3063065816067763,0.9721838671719327,0.0,ebeffff51e9ff5155cfd852f4900072c960afee8bb7b40d61b5114e741941297,4.732524112558368,-4.037617345351373,-2.2438004724585294,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,0.02352868093576858
JERC,9009,daily,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/daily_0.50/seed_9009,0.04096484374999999,0.0,8.943367172513714,0.43447379950918535,0.9182678701808124,0.0,7db31ffc83b762930f9d021a3138029eaa77691d5cc19511629a7a55b0ca876f,0.6728453054213762,-0.009652554505981297,0.3755370289060863,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,ff3a74bb4d90124883b78b05563a958095cd2bed761c079ce38e04730d06f483,0.10789172044573708
JERC,9010,daily,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/daily_0.50/seed_9010,0.02503125,0.0,9.159475117992029,0.3701536485076073,0.9186847592470536,0.0,84455c71a1c8254b99ae324641b3058bb796ce8b8dd8c0c73ff3a8842cf9c9d8,0.6742003932973766,-0.02279726565057508,0.3730192010911638,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,ff3a74bb4d90124883b78b05563a958095cd2bed761c079ce38e04730d06f483,0.10789172044573708
JERC,9011,daily,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/daily_0.50/seed_9011,0.019337890625,0.0,8.746129126102568,0.42947033338007384,0.9200218887873404,0.0,0cab9acceb592d32f8981effab94ae7a267bf95cf6a3ae10bb40ebb8b511fa20,0.6712141791773097,-0.009392187036340437,0.37856103250093276,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,ff3a74bb4d90124883b78b05563a958095cd2bed761c079ce38e04730d06f483,0.10789172044573708
ABBY,9009,daily,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/daily_0.75/seed_9009,0.164515625,0.02472265625,12.907189555980233,0.27948981791790134,0.9721659687557405,0.0,17f3e3a099d55457ddce8e9345a4023475bc8b3c8b721430c3d6b6a218fa273d,4.729437101141005,-4.034980594674318,-2.2395700098473457,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,0.05218436021342357
ABBY,9010,daily,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/daily_0.75/seed_9010,0.157611328125,0.01705078125,10.853080014017792,0.2605002770596583,0.9725599814030188,0.0,7a9b8b77fb5f1c4914b95e5c2f0c51ffafae4d7301a727abf36aff16530e7ca3,4.731601967627538,-4.036674553848686,-2.2425364692905605,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,0.05218436021342357
ABBY,9011,daily,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/daily_0.75/seed_9011,0.127423828125,0.016703125,10.779008546693824,0.3249046151407958,0.9726884876285283,0.0,0ef8397159189b2b1342fcfebc8780ca35101aa8112264febd6a1c8958fd2b2d,4.715316578957017,-4.002683002397448,-2.2202543363660965,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,0.05218436021342357
JERC,9009,daily,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/daily_0.75/seed_9009,0.0101484375,0.0,8.969838740143535,0.4053360210643631,0.9207303498195806,0.0,1fb047a683bda30cbe5685e5ac496041602335d807bbd7186e00b5df1e324432,0.6738645621912557,-0.008592996613221245,0.37364366591072784,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,ff3a74bb4d90124883b78b05563a958095cd2bed761c079ce38e04730d06f483,0.08171427596827718
JERC,9010,daily,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/daily_0.75/seed_9010,0.014556640624999999,0.0,8.602333642773704,0.46781996234060713,0.9186631819469054,0.0,6b35ed087aa375fa53a5d97a32fe13bac45ddbb8c30e4fd1143dd409efc780ea,0.6735778923226537,-0.01020469701109834,0.37417647118091324,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,ff3a74bb4d90124883b78b05563a958095cd2bed761c079ce38e04730d06f483,0.08171427596827718
JERC,9011,daily,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/daily_0.75/seed_9011,0.01857421875,0.0,9.153917348086521,0.44151580009946634,0.9202213921314543,0.0,05eaaefba47a3c03ab148f890ee04f5cdeb2ae5ad0775f428673302295e5e06f,0.6718617606013402,-0.003634319873017909,0.37736133656015924,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,ff3a74bb4d90124883b78b05563a958095cd2bed761c079ce38e04730d06f483,0.08171427596827718
ABBY,9009,daily,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/daily_1.00/seed_9009,0.059294921875,0.045998046875,10.984118728064615,0.24750463003174528,0.9727042519879731,0.001201923076923077,5961401035ca2e4617089b1be3bfd2ef310783544fd1fff5c254e9ff1084cbbe,4.710776722935153,-3.9975563978650777,-2.2140564690322964,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,0.1963050427647029
ABBY,9010,daily,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/daily_1.00/seed_9010,0.12750781249999998,0.047859375,10.161801594942691,0.22819167836644105,0.9726137470105246,0.0,ee2f9309a8a57a7bfe126d7ccb0ab249478a77f0a88787f07ee82b68b4a822f4,4.709265472254514,-3.996274027017543,-2.2119946154600765,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,0.1963050427647029
ABBY,9011,daily,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/daily_1.00/seed_9011,0.052392578125,0.02280859375,11.112681786555715,0.24479670741235834,0.9726917233946036,0.0,53d5d3d1036a81df8e90d5414d1edb7cff49a4b018b45c3317ea54b8ac52e8d4,4.716045214021891,-4.003586114162701,-2.2212496339144834,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,0.1963050427647029
JERC,9009,daily,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/daily_1.00/seed_9009,0.00833203125,0.0,8.915063519902837,0.41237935009710597,0.9207136411036115,0.0,ec196a46c8e03d9ba9ffd6e4a53074e3be57902f75754d68b513ed05d3da4ed4,0.6733991621516463,-0.017855124674622688,0.37450854474728434,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,ff3a74bb4d90124883b78b05563a958095cd2bed761c079ce38e04730d06f483,0.11224941207317787
JERC,9010,daily,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/daily_1.00/seed_9010,0.012994140625,0.0,8.768553037859961,0.45685262200266574,0.9208607272744982,0.0,73f0d2efc5ac3987988d3d902b3c61082571bdddd9d2e9074f986d1a6d5b52f5,0.6733113932944368,-0.014277370215366712,0.37467158353806984,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,ff3a74bb4d90124883b78b05563a958095cd2bed761c079ce38e04730d06f483,0.11224941207317787
JERC,9011,daily,1.00,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/daily_1.00/seed_9011,0.012261718750000001,0.0,9.029800113649276,0.3293482129555361,0.9199065642413684,0.0,be944ecb070dd5d6ef5240c92e996f7535ab5e411849a15102b400dfeae2e1d3,0.673225157537299,-0.03518047796484873,0.3748317537555035,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,ff3a74bb4d90124883b78b05563a958095cd2bed761c079ce38e04730d06f483,0.11224941207317787
